Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
AFELIMOMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PN0621,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ART621,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PLACULUMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ETHYL PYRUVATE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7818053313716823,0.744715213543653,0.27567397977188524,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
GOLIMUMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
CNTO 148,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
CERTOLIZUMAB PEGOL,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PCB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7479297310283867,0.7388436367846846,0.8125531751746183,0.744715213543653,0.30716410745022876,0.7375473752742081,0.7916835820742422,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
CROMOLYN SODIUM,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
NAFAMOSTAT,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.8027245249927857,0.744715213543653,0.16923295715348202,0.7375473752742081,0.7615463900385737,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
TALACTOFERRIN ALFA,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
URAPIDIL,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
DELMITIDE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
AN0128,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PF-04236921,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7219700787216553,0.7388436367846846,0.7861292472828832,0.744715213543653,0.13170039031146485,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PIRFENIDONE,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7468544911716061,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
AJULEMIC ACID,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
OZORALIZUMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
MEROPENEM,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ORTATAXEL,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7724598604597149,0.744715213543653,0.2855314610299465,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
LENERCEPT,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
NERELIMOMAB,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ONERCEPT,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
PEGSUNERCEPT,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
AZ-9773,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7290703528702426,0.7388436367846846,0.794255878690233,0.744715213543653,0.13504851331314693,0.7375473752742081,0.7616993519116627,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
ASG-5ME,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
BIX-01294,0.029018428078050586,0.14086013274778217,0.1151711195845692,0.2488650498196544,0.4811477855139246,0.7377610814877665,0.2690754716832786,0.7388436367846846,0.7186186385742863,0.5874002849313916,0.012443211413234073,0.0006494024891657293,0.0007686776692593097,0.34410040454786955,0.726459332904291,0.751760262856257,0.7430795634485644,0.290152347849711,0.06527404877824036,0.20343925864010126
UNC0638,0.7461830450603767,0.7628624977088094,0.7469713544797733,1.1886149359091668e-44,0.6884836266102826,0.7377610814877665,3.834088891983926e-37,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,4.508647418468926e-10,0.7322375966862833,0.726459332904291,0.0,5.575711692834515e-37,0.7481334033078506,0.00018138411323266753,0.7397126246788673
UNC0642,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
4-GUANIDINOBENZOIC ACID,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7186186385742863,0.744715213543653,0.7181880360665317,0.18488081991924615,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
1D09C3,0.7461830450603767,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.03997160521765222,0.7186186385742863,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.3415965160195214,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
LYM-1,0.7537774057307399,0.7628624977088094,0.7469713544797733,0.7316619424867631,0.6884836266102826,0.7377610814877665,0.7043096474587744,0.7388436367846846,0.7418251940182329,0.744715213543653,0.7181880360665317,0.7375473752742081,0.7331003559790024,0.7322375966862833,0.726459332904291,0.751760262856257,0.7430795634485644,0.7481334033078506,0.7452127716961101,0.7397126246788673
