Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
NELARABINE,5.191794971220847e-05,5.4106479650461046e-05,5.0735778553776835e-05,4.618493717715682e-05,4.673028031379372e-05,4.533978279217224e-05,5.4089646122466053e-05,5.708740260488193e-05,4.5685991544850424e-05,5.5995898214024157e-05,5.106176072661663e-05,5.24565262148474e-05,5.435136346815545e-05,7.8226296829355e-05,4.667361265976011e-05,6.526611737691584e-05,6.876053337667566e-05
DESMOSTEROL,4.9052837466672816e-05,4.9828620756861114e-05,5.9501701461147446e-05,6.063957336872391e-05,5.971983428838021e-05,4.2107650102847194e-05,5.104918327744458e-05,3.945300503265044e-05,4.6990137021546774e-05,4.136440407493521e-05,4.170142453604124e-05,4.6922792261028235e-05,4.00204392067354e-05,4.063750777704904e-05,6.0834425630994846e-05,4.958917704587083e-05,4.915261295857581e-05
ISCHEMIN,0.003482520908367009,5.4794162119047297e-05,8.014385166661886e-05,5.861968798166579e-05,8.519686125258165e-05,4.754340190400397e-05,7.445248694026715e-05,8.212040298020404e-05,6.176147193433797e-05,4.583726031096557e-05,5.9373143873467565e-05,9.423902795745053e-05,7.47973319540858e-05,4.9276225293952914e-05,6.0779129106838246e-05,5.682255515735344e-05,7.03536223232973e-05
BIS(5-AMIDINO-BENZIMIDAZOLYL)METHANE,5.4692566415424625e-05,5.5542075433088295e-05,7.080208392928205e-05,8.689637179265805e-05,7.151326915136861e-05,8.959082362625906e-05,6.671732862380844e-05,6.201000173319766e-05,5.606284272488274e-05,6.267134793049321e-05,7.468151387412721e-05,5.081174420021223e-05,8.278606801767177e-05,6.710162200895925e-05,7.389993631265212e-05,5.92310764647015e-05,6.204826410048687e-05
DCG-IV,4.439704165270081e-05,4.7836065638592523e-05,4.8036674876819135e-05,5.0896672997825e-05,4.938921712188731e-05,5.055377898078356e-05,4.780346121733806e-05,4.7488532944760456e-05,4.985303556861358e-05,4.5849701213973145e-05,4.3749035701524925e-05,4.5059926312627626e-05,4.264947236691297e-05,4.370634231846632e-05,4.880122191067495e-05,4.904381583809814e-05,5.174953271453801e-05
DMAT,6.503277434544738e-05,3.714248231044145e-05,5.0159016213626e-05,3.10039596802508e-05,4.7253033237407736e-05,4.808984422204952e-05,6.074215870033616e-05,6.105091896752184e-05,3.93559083515217e-05,4.9469864465512876e-05,4.646238097577574e-05,6.433830886424767e-05,6.162609528209829e-05,3.909806598890656e-05,4.1301597525814e-05,4.1623240410488816e-05,5.65979710609877e-05
BMS-214662,4.955545229581835e-05,4.5434199648465145e-05,4.098920319672292e-05,3.9510282803462295e-05,3.992148860299555e-05,3.9273345298872965e-05,4.641212081528376e-05,6.0405579134596435e-05,4.9726100200281894e-05,5.1681412655595663e-05,5.729656545171018e-05,4.972990761673178e-05,3.954493165137606e-05,4.940712645242448e-05,4.288085773277442e-05,5.783434013256045e-05,4.206262503062698e-05
FIGOPITANT,3.155856192464304e-05,3.151225613989021e-05,3.4771657249999904e-05,3.099227935220827e-05,3.1371717858677776e-05,3.143070520907269e-05,3.75621948422254e-05,3.1343483848438286e-05,3.106565196328496e-05,3.633131167789517e-05,5.803036821223206e-05,3.0993687266764535e-05,3.134127978482634e-05,3.148893666764658e-05,3.1496709514085205e-05,3.8098788339890804e-05,3.140870841467501e-05
CISATRACURIUM BESYLATE,4.5536690500714304e-05,5.5602688376521875e-05,4.791154334803982e-05,4.455043583236555e-05,5.0480385437263884e-05,4.50743233236572e-05,4.74694482477679e-05,5.3413060862013154e-05,4.650760282125287e-05,4.548737204206959e-05,4.652943297672264e-05,4.874786532198942e-05,4.7272139620550714e-05,4.74511193777734e-05,4.8514087078019915e-05,4.949512694003708e-05,4.752148858146682e-05
EPO,4.554731521696236e-05,0.0012339889418363085,4.339534096827733e-05,4.9189148645195456e-05,4.5634392076333216e-05,4.7920581389466364e-05,4.55954671887286e-05,5.182520936735509e-05,4.786132176036652e-05,4.546466466108362e-05,4.411213332434653e-05,4.4338700993701374e-05,4.538037729308576e-05,4.5691217507967414e-05,4.6662157912210985e-05,4.659699550992825e-05,5.001744249288623e-05
