Drug,BLCA,BRCA,CESC,COADREAD,DLBC,ESCA,GBM,HNSC,KIRC,LAML,LGG,LIHC,LUAD,LUSC,PAAD,PRAD,SKCM,STAD,UCEC,UCS
DI(N-ACETYL-D-GLUCOSAMINE),0.8515223133263985,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.5863714697033112,0.8835855664324834,0.8806205381788367,0.889272218857963,0.885384063239792,0.866790498319384
"ADENOSINE-DERIVED INHIBITOR, 7",0.12202799062626096,0.43858311601558353,0.32974040966275286,0.874593053776576,0.9070740689946104,0.3027042770866547,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.18655395806143477,0.8559557418681538,0.1727183240894022,0.8835855664324834,0.8806205381788367,0.8102764511535605,0.8292310695158156,0.07454917302777854
4-(HYDROXYMETHYL)BENZAMIDINE,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.6977282547316698,0.8883290173417249,0.8721518453708049,0.8771521672145381,0.8681791586719287,0.9087979987024608,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
CRCF1/CLCF1 HETERODIMER,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.2849791429811776,0.8768871393089922,0.8681791586719287,0.8812840140095868,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
CARDIOTROPHIN-1,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.2849791429811776,0.8768871393089922,0.8681791586719287,0.8812840140095868,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
SCH-37370,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.8883290173417249,0.2849791429811776,0.8768871393089922,0.8681791586719287,0.8812840140095868,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.8785818072990048,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
PHENCYCLIDINE,0.8446568820775415,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.34009088028022544,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.870908138155316,0.8559557418681538,0.4745030112488356,0.8835855664324834,0.8806205381788367,0.8718226199237588,0.8292310695158156,0.866790498319384
(RS)-PPCC,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
[3H]PENTAZOCINE,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
BD-1047,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
CUTAMESINE,0.8318300977358524,0.8767875396413598,0.8791368857902675,0.874593053776576,0.9030642898639174,0.30075767809894643,0.8721518453708049,0.8768871393089922,0.8681791586719287,0.85543494586864,0.8829488467678296,0.903460791197228,0.7971044163288535,0.7257831306172332,0.5808689144402278,0.8835855664324834,0.6601481088959018,0.8102764511535605,0.8292310695158156,0.866790498319384
