Drug,COADREAD,LUSC,HNSC,STAD,KIRC,UCEC,BRCA,LIHC,CESC,LUAD,ESCA,PRAD,GBM,SKCM,BLCA,LGG,UCS
TYRPHOSTIN AG 1296,0.824504905524854,0.5202555611262994,0.5667715895620759,0.8514143939462022,0.7716255383669952,0.6640190837776081,0.6275479842867486,0.41707335058008493,0.6352731339593657,0.5159095196250754,0.7605242092415353,0.7757537340861571,0.49505243792290266,0.47219818615821807,0.2089461158690542,0.5336042503633782,0.44998168773428215
L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID,0.744272593555708,0.5468414055799319,0.54529064139515,0.4757643997887528,0.34386016518570084,0.553341648491824,0.7348321005385151,0.5463576536523651,0.5471164629965143,0.3799665228911019,0.5457148608919978,0.7060599853571001,0.736415179560798,0.52222921394443,0.547853025615261,0.5254526820630642,0.717103973861463
TG7-171,0.5615154825020485,0.6532071193692353,0.6229265104165532,0.5458913712034635,0.562792575396152,0.7335861513245161,0.8352306150274238,0.6115516104863508,0.5514942472099231,0.6405172926788814,0.5423637705288853,0.7741105515345099,0.7326088277071782,0.551790703233325,0.7728220210945722,0.6432067678997849,0.80526841333931
"2',3'-DIDEOXYADENOSINE",,,,,,,,,,,,,,,,,
BIMATOPROST,0.5305276179409212,0.8576259169211142,0.8966430842774747,0.7226440136596525,0.7454954211327106,0.6907515394827107,0.9052776088140018,0.7571807284306382,0.554056658116905,0.5533112132802804,0.7594440011414121,0.748377754667007,0.8468855952249362,0.5773462263567358,0.553606953490281,0.7675954825467906,0.8186992923853678
FINAFLOXACIN,0.3688531688956902,0.6777981790570061,0.7760856878412594,0.35985027508469203,0.38897787187758637,0.8991319950474415,0.8405603340530861,0.5383909666312349,0.7167643171241311,0.5513992502711452,0.5655101221604304,0.11739584054704166,0.813213041484246,0.8889590094823092,0.7888761669353196,0.6189063170306703,0.7914606163903493
FOSBRETABULIN TROMETHAMINE,0.506847783671565,0.536692390528918,0.5497146527775949,0.5215838855841108,0.3530012924176612,0.5601482466084686,0.5252617852112742,0.5463871930818446,0.20725799053605942,0.5534549810797984,0.3779025014583684,0.5460621137462165,0.540877712515543,0.528716582507655,0.5473360504390596,0.527317263987753,0.5184178819449354
MIDODRINE,0.8817257606819194,0.5689594897593592,0.6987692446238924,0.8792917863901741,0.8213941278335051,0.7214353475418716,0.8643267522767031,0.8336407419849103,0.7557192069213101,0.7354884905674046,0.6868712933558969,0.6882490407662283,0.6198815787011438,0.7256723770272757,0.7566041964453187,0.8743687914594485,0.6550745800401448
CANDOXATRILAT,0.4664669968734272,0.5385189130730338,0.5394416037296765,0.8074814640630059,0.7980832082000553,0.5369030962178845,0.5456972721787144,0.53592774544719,0.539325400308566,0.5374565620671656,0.7703178861516428,0.7951328292865373,0.5374242442064489,0.5394459799089734,0.5425702290508215,0.8130078882472762,0.5367142741899038
VINDESINE,0.542474037850772,0.7533074743548178,0.6707854383788108,0.5657561832835365,0.72351332410197,0.8604540142319056,0.7629075753335344,0.5387143418810858,0.7722516307485152,0.5471420236532007,0.40750778482725103,0.5461730134071481,0.5466274720324312,0.5461072380109981,0.5469569150727221,0.7693129695807379,0.7605954489606439
NARATRIPTAN,0.7702787150550265,0.5479163058259765,0.5478377561642949,0.5139179254728149,0.6959126053919217,0.5526475510784725,0.6901026183288499,0.8859519993480899,0.541588121234054,0.6700528828095351,0.7119451663921299,0.642039245751327,0.8933467995340402,0.8533928690966296,0.5545388981936838,0.8281603109961022,0.9038677018927028
CUTAMESINE,0.4175497259192176,0.09099442641925365,0.17946200087980213,0.10661768623426182,0.2563392323559461,0.5798349524405801,0.2849692116046696,0.1655105577257706,0.4751550479790324,0.11504599823303069,0.02863882557221972,0.3168218980037931,0.37135953030467506,0.07252042743773841,0.10197927311429739,0.41528532208638597,0.28080541269301784
